RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
293,Derek Fisher, OKC,81,17.6,0.542,21,8.8,13.2,1,8.3,4.8,10.09,-19.4,-0.6
294,Chuck Hayes, SAC/TOR,61,12.3,0.468,16.7,15.8,9.8,10.5,21.8,16.1,10.04,-16.5,-0.5
295,Gerald Wallace, BOS,58,24.4,0.543,27.8,18.9,11.9,2.8,14.5,8.5,10.02,-10.2,-0.3
296,Andrew Nicholson, ORL,76,15.4,0.489,4.8,9.8,17.3,5.1,19.5,12.3,9.9,-28.1,-0.9
297,Harrison Barnes, GS,78,28.3,0.486,12.1,8.8,15.6,3.3,11.9,7.7,9.85,-21.3,-0.7
298,Greg Stiemsma, NO,55,18.3,0.584,16.7,20.4,7.8,8.2,18,13,9.75,-12.8,-0.4
298,Al Harrington, WSH,34,15,0.506,9.8,12,21,3.3,15,9.1,9.75,-13.4,-0.4
300,Ray McCallum, SAC,45,19.9,0.439,25.1,8.2,17.7,2.2,7.8,5,9.74,-16.9,-0.6
301,Chase Budinger, MIN,41,18.3,0.505,9.5,7.4,15.7,2.7,12.5,7.5,9.73,-8.6,-0.3
302,Robbie John Hummel, MIN,53,12.4,0.492,10.6,4.6,11.9,5.7,16.6,11,9.67,-8.1,-0.3
303,Iman Shumpert, NY,74,26.5,0.48,17.8,10.9,13.5,4.7,14,9.2,9.66,-24.5,-0.8
304,Shawne Williams, LAL,36,20.9,0.503,11.9,8.3,11.8,3.6,20.2,11.9,9.51,0,0
305,Hollis Thompson, PHI,77,22.6,0.57,13.6,11.2,10.6,4.4,11.2,7.7,9.5,-25.9,-0.9
305,Alan Anderson, BKN,78,22.7,0.525,11.9,9.1,14.5,2.7,9.1,5.9,9.5,-26.4,-0.9
307,Kentavious Caldwell-Pope, DET,80,19.8,0.483,9.7,4.9,13.3,2.5,8.6,5.4,9.46,-24.5,-0.8
308,Darrell Arthur, DEN,68,17.1,0.459,11,10.4,17,4.8,14.7,9.8,9.41,-36.3,-1.2
309,Francisco Garcia, HOU,55,19.7,0.521,15.9,7.6,12.7,2.3,9.8,6.3,9.37,-18.2,-0.6
310,Toney Douglas, GS/MIA,51,13.2,0.493,22.2,11.1,16.5,3.3,11.8,7.6,9.2,-18.1,-0.6
311,Earl Clark, CLE/NY,54,14.2,0.466,5.5,9.5,16.5,3.2,18.2,10.5,9.09,0,0
312,Darius Miller, NO,45,16.1,0.55,17.4,8.9,12.3,1.4,7,4.2,9.06,-15.6,-0.5
313,Luke Ridnour, MIL/CHA,61,18.7,0.452,30.3,11.4,16.8,2.2,7.6,4.8,9.01,-33.9,-1.1
314,Jared Dudley, LAC,74,23.4,0.541,16.4,8.9,12.8,2.4,7.7,5.1,8.91,-41.1,-1.4
315,Norris Cole, MIA,82,24.6,0.497,27.4,14,15.2,1.1,8.6,5,8.8,-66,-2.2
316,Phil Pressey, BOS,75,15.1,0.39,40.1,14.5,15.6,2,8.8,5.3,8.78,-37.5,-1.2
317,Elliot Williams, PHI,67,17.3,0.519,13.6,12.8,15.8,2.7,9.7,6.1,8.71,-31,-1
318,Shane Battier, MIA,73,20.1,0.523,17.1,5.7,9.2,3,8.6,5.9,8.7,-39.5,-1.3
319,Alonzo Gee, CLE,65,15.7,0.491,13.3,12.4,12.7,3.8,12.8,8.2,8.63,-28.5,-0.9
320,Quincy Miller, DEN,52,15.2,0.459,7.3,13.6,16.3,4.9,15.2,10.1,8.62,-22.1,-0.7
321,Luc Mbah a Moute, MIN/SAC,64,15.7,0.503,12.1,13.4,10.9,6,10.1,8,8.42,-46.2,-1.5
322,Tayshaun Prince, MEM,76,25.6,0.438,17.5,6,12.8,1.9,12.3,7.1,8.18,-67.4,-2.2
323,Tony Snell, CHI,77,16,0.489,14.6,9.4,14.2,1.8,9.6,5.7,8.02,-45.6,-1.5
324,John Salmons, SAC/TOR,78,22.1,0.462,23.1,8.5,13.3,1.3,9.6,5.5,7.81,-69.2,-2.3
324,Garrett Temple, WSH,75,8.5,0.431,26.3,15.3,14.3,3.8,8.7,6.2,7.81,-25.6,-0.9
326,Ben McLemore, SAC,82,26.7,0.485,8.9,10.4,15.8,2.7,9.5,6.1,7.77,-89.2,-3
327,Ekpe Udoh, MIL,42,19.1,0.44,13.3,16.3,10.8,8.4,12.8,10.5,7.62,-46.5,-1.6
328,Doron Lamb, ORL,53,13.1,0.543,17.5,11,12.6,1.3,6.7,4,7.51,-31,-1
329,Brandon Davies, PHI,51,11.3,0.476,13.1,16.3,12.9,6.9,13.9,10.2,7.49,-34.4,-1.1
330,Jason Terry, BKN,35,16.3,0.501,23.2,11.2,14.7,0.8,6.9,3.9,7.48,-25.7,-0.9
331,Willie Green, LAC,55,15.8,0.477,13.5,9.2,15.2,1.6,8.2,5,7.13,-43.7,-1.5
332,Diante Garrett, UTAH,71,14.8,0.459,25.8,16.1,15.1,1.2,9.8,5.3,7.1,-61,-2
333,Anthony Bennett, CLE,52,12.8,0.425,5.3,14.7,18.7,8.1,18.4,13.1,6.95,-35.1,-1.2
334,Kendrick Perkins, OKC,62,19.5,0.474,17.7,23.7,10.9,8.1,19.9,14.3,6.32,-77.1,-2.6
335,Jeffery Taylor, CHA,26,24.2,0.436,7.7,8.8,17.5,2.7,8.1,5.4,5.97,-42.5,-1.4
336,Dennis Schroder, ATL,49,13.1,0.442,25.8,16.9,18.6,0.9,9.9,5.4,5.81,-49.7,-1.7
337,John Lucas, UTAH,42,14.1,0.403,16.1,8.4,16.2,2.3,5.4,3.8,5.23,-50.9,-1.7
